Location	Start	End	mRNA	GENE #				
Chr_10	753800	754714	ID=mRNA7376	gene7373	Name=wlab.237310.1_mRNA	proteinid=7246	annotator=automatic	
Chr_10	755226	756417	ID=mRNA7377	gene7374	Name=wlab.237309.1_mRNA	proteinid=7247	annotator=automatic	
Chr_10	757648	761494	ID=mRNA7378	gene7375	Name=wlab.237307.1_mRNA	proteinid=7249	annotator=Jae-Hyeok%20Lee	
Chr_10	764143	765197	ID=mRNA7379	gene7376	Name=wlab.246941.1_mRNA	proteinid=7252	annotator=automatic	
Chr_10	765205	766501	ID=mRNA7380	gene7377	Name=wlab.231697.1_mRNA	proteinid=7253	annotator=automatic	
Chr_10	767964	768346	ID=mRNA7381	gene7378	Name=wlab.246943.1_mRNA	proteinid=7255	annotator=automatic	
Chr_10	768493	770665	ID=mRNA7382	gene7379	Name=wlab.245747.1_mRNA	proteinid=7256	product=Phosphate%3ANa%2B%20Symporter%20%28PNaS%29%20Family	annotator=Jian%20Guo
Chr_10	771151	775246	ID=mRNA7383	gene7380	Name=wlab.237303.1_mRNA	proteinid=7257	annotator=automatic	
Chr_10	777971	779573	ID=mRNA7384	gene7381	Name=wlab.237302.1_mRNA	proteinid=7259	annotator=automatic	
Chr_10	780805	783033	ID=mRNA7385	gene7382	Name=wlab.6568.1_mRNA	proteinid=7261	annotator=automatic	
Chr_10	783153	788446	ID=mRNA7386	gene7383	Name=wlab.237300.1_mRNA	proteinid=7262	annotator=automatic	
Chr_10	788505	789089	ID=mRNA7387	gene7384	Name=wlab.24966.1_mRNA	proteinid=7263	annotator=automatic	
Chr_10	790189	795810	ID=mRNA7388	gene7385	Name=wlab.245745.1_mRNA	proteinid=7265	annotator=automatic	
Chr_10	802308	803259	ID=mRNA7389	gene7386	Name=wlab.237297.1_mRNA	proteinid=7267	annotator=automatic	
Chr_10	804457	805167	ID=mRNA7390	gene7387	Name=wlab.1869.1_mRNA	proteinid=7269	annotator=automatic	
Chr_10	805243	807135	ID=mRNA7391	gene7388	Name=wlab.237572.1_mRNA	proteinid=7270	annotator=automatic	
Chr_10	810338	811570	ID=mRNA7392	gene7389	Name=wlab.6572.1_mRNA	proteinid=7273	annotator=Jae-Hyeok%20Lee	
Chr_10	811780	813697	ID=mRNA7393	gene7390	Name=wlab.237294.1_mRNA	proteinid=7274	annotator=automatic	
Chr_10	819739	824107	ID=mRNA7394	gene7391	Name=wlab.237291.1_mRNA	proteinid=7276	annotator=automatic	
Chr_10	824239	827262	ID=mRNA7395	gene7392	Name=wlab.237292.1_mRNA	proteinid=7277	annotator=automatic	
Chr_10	828790	830772	ID=mRNA7396	gene7393	Name=wlab.246944.1_mRNA	proteinid=7279	annotator=automatic	
Chr_10	831401	832385	ID=mRNA7397	gene7394	Name=wlab.237287.1_mRNA	proteinid=7281	annotator=automatic	
Chr_10	833777	834899	ID=mRNA7398	gene7395	Name=wlab.237285.1_mRNA	proteinid=7283	annotator=automatic	
Chr_10	836986	838050	ID=mRNA7399	gene7396	Name=wlab.237283.1_mRNA	proteinid=7285	annotator=automatic	
Chr_10	843693	846847	ID=mRNA7400	gene7397	Name=wlab.24980.1_mRNA	proteinid=7288	annotator=automatic	
Chr_10	849764	851098	ID=mRNA7401	gene7398	Name=wlab.246945.1_mRNA	proteinid=7290	annotator=automatic	
Chr_10	852863	853502	ID=mRNA7402	gene7399	Name=wlab.237278.1_mRNA	proteinid=7293	annotator=automatic	
Chr_10	854713	859729	ID=mRNA7403	gene7400	Name=wlab.237277.1_mRNA	proteinid=7295	product=Monovalent%20Cation%3AProton%20Antiporter-1%20%28CPA1%29%20Family	annotator=Jian%20Guo
Chr_10	861512	863126	ID=mRNA7404	gene7401	Name=wlab.237276.1_mRNA	proteinid=7297	annotator=automatic	
Chr_10	864348	867221	ID=mRNA7405	gene7402	Name=wlab.245742.1_mRNA	proteinid=7299	product=Protoporphyrin%20IX%20Magnesium-chelatase%20subunit%20D	annotator=Charles%20Bachy
Chr_10	870398	871763	ID=mRNA7406	gene7403	Name=wlab.237271.1_mRNA	proteinid=7302	annotator=automatic	
Chr_10	873141	879465	ID=mRNA7407	gene7404	Name=wlab.237269.1_mRNA	proteinid=7304	annotator=automatic	
Chr_10	879576	881053	ID=mRNA7408	gene7405	Name=wlab.237268.1_mRNA	proteinid=7305	product=SBP-type%20transcription%20factor	annotator=Jae-Hyeok%20Lee
Chr_10	883251	884998	ID=mRNA7409	gene7406	Name=wlab.8696.1_mRNA	proteinid=7308	product=Glutamate-gated%20Ion%20Channel%20%28GIC%29%20Family%20of%20Neurotransmitter%20Receptors	annotator=Jian%20Guo
Chr_10	885206	886388	ID=mRNA7410	gene7407	Name=wlab.237265.1_mRNA	proteinid=7309	annotator=automatic	
Chr_10	886617	889712	ID=mRNA7411	gene7408	Name=wlab.237264.1_mRNA	proteinid=7310	annotator=automatic	
Chr_10	892819	894960	ID=mRNA7412	gene7409	Name=wlab.237262.1_mRNA	proteinid=7313	annotator=automatic	
Chr_10	895097	897155	ID=mRNA7413	gene7410	Name=wlab.246947.1_mRNA	proteinid=7314	product=Variable%20Flagellar%20Number%20protein	annotator=Valeria%20Jimenez
Chr_10	898486	900271	ID=mRNA7414	gene7411	Name=wlab.18612.1_mRNA	proteinid=7316	annotator=automatic	
Chr_10	903498	904954	ID=mRNA7415	gene7412	Name=wlab.237259.1_mRNA	proteinid=7319	annotator=automatic	
Chr_10	911809	913288	ID=mRNA7416	gene7413	Name=wlab.246948.1_mRNA	proteinid=7323	product=Drug%2FMetabolite%20Transporter%20%28DMT%29%20Superfamily	annotator=Jian%20Guo
Chr_10	915004	916245	ID=mRNA7417	gene7414	Name=wlab.237255.1_mRNA	proteinid=7325	annotator=automatic	
Chr_10	916967	918168	ID=mRNA7418	gene7415	Name=wlab.237253.1_mRNA	proteinid=7327	annotator=automatic	
Chr_10	920446	921484	ID=mRNA7419	gene7416	Name=wlab.246949.1_mRNA	proteinid=7329	annotator=automatic	
Chr_10	923039	923988	ID=mRNA7420	gene7417	Name=wlab.246950.1_mRNA	proteinid=7331	annotator=automatic	
Chr_10	926276	927337	ID=mRNA7421	gene7418	Name=wlab.6599.1_mRNA	proteinid=7333	annotator=automatic	
Chr_10	927383	928924	ID=mRNA7422	gene7419	Name=wlab.237250.1_mRNA	proteinid=7334	product=Drug%2FMetabolite%20Transporter%20%28DMT%29%20Superfamily	annotator=Jian%20Guo
Chr_10	929123	930538	ID=mRNA7423	gene7420	Name=wlab.25003.1_mRNA	proteinid=7335	annotator=automatic	
Chr_10	931094	934048	ID=mRNA7424	gene7421	Name=wlab.6602.1_mRNA	proteinid=7337	annotator=automatic	
Chr_10	936840	937584	ID=mRNA7425	gene7422	Name=wlab.237246.1_mRNA	proteinid=7339	annotator=Jae-Hyeok%20Lee	
Chr_10	938318	939811	ID=mRNA7426	gene7423	Name=wlab.237245.1_mRNA	proteinid=7341	annotator=automatic	
Chr_10	942019	942786	ID=mRNA7427	gene7424	Name=wlab.9922.1_mRNA	proteinid=7344	annotator=automatic	
Chr_10	945689	946822	ID=mRNA7428	gene7425	Name=wlab.237243.1_mRNA	proteinid=7347	annotator=automatic	
Chr_10	949561	951092	ID=mRNA7429	gene7426	Name=wlab.237241.1_mRNA	proteinid=7350	annotator=automatic	
Chr_10	951257	952427	ID=mRNA7430	gene7427	Name=wlab.237240.1_mRNA	proteinid=7351	annotator=automatic	
Chr_10	954417	955553	ID=mRNA7431	gene7428	Name=wlab.237239.1_mRNA	proteinid=7352	product=NADPH-dependent%20short-chain%20dehydrogenase	annotator=Charles%20Bachy
Chr_10	957044	959143	ID=mRNA7432	gene7429	Name=wlab.237238.1_mRNA	proteinid=7354	annotator=automatic	
Chr_10	960983	963164	ID=mRNA7433	gene7430	Name=wlab.7982.1_mRNA	proteinid=7356	annotator=automatic	
Chr_10	965776	966462	ID=mRNA7434	gene7431	Name=wlab.6611.1_mRNA	proteinid=7358	annotator=Jae-Hyeok%20Lee	
Chr_10	967202	968621	ID=mRNA7435	gene7432	Name=wlab.1816.1_mRNA	proteinid=7359	annotator=automatic	
Chr_10	970560	971425	ID=mRNA7436	gene7433	Name=wlab.237231.1_mRNA	proteinid=7362	annotator=automatic	
Chr_10	972334	974707	ID=mRNA7437	gene7434	Name=wlab.248595.1_mRNA	proteinid=7364	annotator=automatic	
Chr_10	974829	977119	ID=mRNA7438	gene7435	Name=wlab.237230.1_mRNA	proteinid=7365	annotator=automatic	
Chr_10	992473	996644	ID=mRNA7439	gene7436	Name=wlab.237226.1_mRNA	proteinid=7368	annotator=automatic	
Chr_10	998150	999718	ID=mRNA7440	gene7437	Name=wlab.237225.1_mRNA	proteinid=7370	annotator=automatic	
Chr_10	1003644	1004684	ID=mRNA7441	gene7438	Name=wlab.245710.1_mRNA	proteinid=7373	product=Photosystem%20I%20psaK%20subunit	annotator=Charles%20Bachy
Chr_10	1004895	1006425	ID=mRNA7442	gene7439	Name=wlab.245707.1_mRNA	proteinid=7374	annotator=automatic	
Chr_10	1007898	1008257	ID=mRNA7443	gene7440	Name=wlab.6618.1_mRNA	proteinid=7376	annotator=automatic	
Chr_10	1009625	1011759	ID=mRNA7444	gene7441	Name=wlab.237221.1_mRNA	proteinid=7378	annotator=automatic	
Chr_10	1013109	1014833	ID=mRNA7445	gene7442	Name=wlab.6619.1_mRNA	proteinid=7380	annotator=automatic	
Chr_10	1014843	1015464	ID=mRNA7446	gene7443	Name=wlab.237219.1_mRNA	proteinid=7381	annotator=automatic	
Chr_10	1017419	1019182	ID=mRNA7447	gene7444	Name=wlab.237217.1_mRNA	proteinid=7383	annotator=automatic	
Chr_10	1022999	1024212	ID=mRNA7448	gene7445	Name=wlab.245704.1_mRNA	proteinid=7386	annotator=automatic	
Chr_10	1024405	1027202	ID=mRNA7449	gene7446	Name=wlab.25028.1_mRNA	proteinid=7387	annotator=automatic	
Chr_10	1027428	1028206	ID=mRNA7450	gene7447	Name=wlab.237214.1_mRNA	proteinid=7388	annotator=automatic	
Chr_10	1033956	1034561	ID=mRNA7451	gene7448	Name=wlab.6625.1_mRNA	proteinid=7391	annotator=automatic	
Chr_10	1036362	1038295	ID=mRNA7452	gene7449	Name=wlab.237211.1_mRNA	proteinid=7393	product=Epoxycarotenoid%20cleavage%20enzyme	annotator=Charles%20Bachy
Chr_10	1038374	1039533	ID=mRNA7453	gene7450	Name=wlab.237210.1_mRNA	proteinid=7394	annotator=automatic	
Chr_10	1044251	1045824	ID=mRNA7454	gene7451	Name=wlab.237208.1_mRNA	proteinid=7396	annotator=Jae-Hyeok%20Lee	
Chr_10	1047190	1048235	ID=mRNA7455	gene7452	Name=wlab.246952.1_mRNA	proteinid=7398	annotator=automatic	
Chr_10	1048297	1051069	ID=mRNA7456	gene7453	Name=wlab.237206.1_mRNA	proteinid=7399	annotator=Jae-Hyeok%20Lee	
Chr_10	1059910	1060536	ID=mRNA7457	gene7454	Name=wlab.237203.1_mRNA	proteinid=7402	annotator=automatic	
Chr_10	1062631	1064749	ID=mRNA7458	gene7455	Name=wlab.8709.1_mRNA	proteinid=7404	annotator=automatic	
Chr_10	1067062	1068106	ID=mRNA7459	gene7456	Name=wlab.237201.1_mRNA	proteinid=7406	annotator=automatic	
Chr_10	1068180	1071374	ID=mRNA7460	gene7457	Name=wlab.237200.1_mRNA	proteinid=7407	annotator=automatic	
Chr_10	1072811	1073973	ID=mRNA7461	gene7458	Name=wlab.237198.1_mRNA	proteinid=7409	annotator=automatic	
Chr_10	1073990	1075618	ID=mRNA7462	gene7459	Name=wlab.231674.1_mRNA	proteinid=7410	annotator=automatic	
Chr_10	1075688	1078972	ID=mRNA7463	gene7460	Name=wlab.231675.1_mRNA	proteinid=7411	annotator=automatic	
Chr_10	1080450	1083629	ID=mRNA7464	gene7461	Name=wlab.237195.1_mRNA	proteinid=7413	annotator=automatic	
Chr_10	1085500	1087327	ID=mRNA7465	gene7462	Name=wlab.237192.1_mRNA	proteinid=7415	annotator=automatic	
Chr_10	1088197	1089768	ID=mRNA7466	gene7463	Name=wlab.237190.1_mRNA	proteinid=7417	annotator=automatic	
Chr_10	1102890	1104828	ID=mRNA7467	gene7464	Name=wlab.237186.1_mRNA	proteinid=7421	annotator=automatic	
Chr_10	1104940	1105462	ID=mRNA7468	gene7465	Name=wlab.237183.1_mRNA	proteinid=7422	product=molybdenum%20cofactor%20biosynthesis%20CNX6%20or%20Molybdopterin%20synthase%2C%20large%20subunit	annotator=Valeria%20Jimenez
Chr_10	1105986	1107163	ID=mRNA7469	gene7466	Name=wlab.237185.1_mRNA	proteinid=7424	annotator=automatic	
Chr_10	1112072	1113085	ID=mRNA7470	gene7467	Name=wlab.237180.1_mRNA	proteinid=7427	annotator=automatic	
Chr_10	1115830	1116645	ID=mRNA7471	gene7468	Name=wlab.25042.1_mRNA	proteinid=7429	annotator=automatic	
Chr_10	1117224	1121515	ID=mRNA7472	gene7469	Name=wlab.246954.1_mRNA	proteinid=7431	product=ATP-binding%20Cassette%20%28ABC%29%20Superfamily	annotator=Jian%20Guo
Chr_10	1122683	1125550	ID=mRNA7473	gene7470	Name=wlab.245560.1_mRNA	proteinid=7433	annotator=automatic	
Chr_10	1127958	1129281	ID=mRNA7474	gene7471	Name=wlab.237174.1_mRNA	proteinid=7435	annotator=automatic	
Chr_10	1130684	1131529	ID=mRNA7475	gene7472	Name=wlab.245559.1_mRNA	proteinid=7437	annotator=automatic	
Chr_10	1133415	1135239	ID=mRNA7476	gene7473	Name=wlab.237167.1_mRNA	proteinid=7439	product=Phytoene%20desaturase	annotator=Charles%20Bachy
Chr_10	1135294	1135867	ID=mRNA7477	gene7474	Name=wlab.237165.1_mRNA	proteinid=7440	annotator=automatic	
Chr_10	1135934	1136875	ID=mRNA7478	gene7475	Name=wlab.237170.1_mRNA	proteinid=7441	annotator=automatic	
Chr_10	1139007	1139836	ID=mRNA7479	gene7476	Name=wlab.237166.1_mRNA	proteinid=7443	annotator=automatic	
Chr_10	1142325	1143261	ID=mRNA7480	gene7477	Name=wlab.237169.1_mRNA	proteinid=7445	annotator=automatic	
Chr_10	1145491	1146648	ID=mRNA7481	gene7478	Name=wlab.246955.1_mRNA	proteinid=7447	annotator=automatic	
Chr_10	1148041	1148835	ID=mRNA7482	gene7479	Name=wlab.246956.1_mRNA	proteinid=7449	annotator=automatic	
Chr_10	1151806	1153268	ID=mRNA7483	gene7480	Name=wlab.248611.1_mRNA	proteinid=7451	annotator=automatic	
Chr_10	1154441	1156857	ID=mRNA7484	gene7481	Name=wlab.237159.1_mRNA	proteinid=7453	annotator=automatic	
Chr_11	4626	6081	ID=mRNA7485	gene7482	Name=wlab.248129.1_mRNA	proteinid=7456	annotator=automatic	
Chr_11	6207	7705	ID=mRNA7486	gene7483	Name=wlab.248130.1_mRNA	proteinid=7457	annotator=automatic	
Chr_11	9865	15126	ID=mRNA7487	gene7484	Name=wlab.238030.1_mRNA	proteinid=7460	annotator=automatic	
Chr_11	18774	19244	ID=mRNA7488	gene7485	Name=wlab.238027.1_mRNA	proteinid=7463	annotator=automatic	
Chr_11	20742	21475	ID=mRNA7489	gene7486	Name=wlab.248131.1_mRNA	proteinid=7465	annotator=automatic	
Chr_11	22704	27921	ID=mRNA7490	gene7487	Name=wlab.238025.1_mRNA	proteinid=7467	annotator=automatic	
Chr_11	29925	30900	ID=mRNA7491	gene7488	Name=wlab.238022.1_mRNA	proteinid=7470	annotator=automatic	
Chr_11	32193	33930	ID=mRNA7492	gene7489	Name=wlab.238020.1_mRNA	proteinid=7472	product=bZIP%20transcription%20factor	annotator=Jae-Hyeok%20Lee
Chr_11	34080	35638	ID=mRNA7493	gene7490	Name=wlab.238019.1_mRNA	proteinid=7473	annotator=automatic	
Chr_11	36471	37382	ID=mRNA7494	gene7491	Name=wlab.238018.1_mRNA	proteinid=7475	annotator=automatic	
Chr_11	37501	39371	ID=mRNA7495	gene7492	Name=wlab.238017.1_mRNA	proteinid=7476	annotator=automatic	
Chr_11	41393	42109	ID=mRNA7496	gene7493	Name=wlab.248134.1_mRNA	proteinid=7478	annotator=automatic	
Chr_11	48068	49021	ID=mRNA7497	gene7494	Name=wlab.238014.1_mRNA	proteinid=7480	annotator=automatic	
Chr_11	49071	51011	ID=mRNA7498	gene7495	Name=wlab.238012.1_mRNA	proteinid=7481	product=monodehydroascorbate%20reductase	annotator=Chang%20Jae%20Choi
Chr_11	52819	53460	ID=mRNA7499	gene7496	Name=EuGene.1100010030_mRNA	proteinid=17624	annotator=Alexandra%20Worden	
Chr_11	55401	57200	ID=mRNA7500	gene7497	Name=wlab.248632.1_mRNA	proteinid=7484	annotator=automatic	
Chr_11	57792	60098	ID=mRNA7501	gene7498	Name=wlab.238009.1_mRNA	proteinid=7486	annotator=automatic	
Chr_11	62329	64316	ID=mRNA7502	gene7499	Name=wlab.238008.1_mRNA	proteinid=7489	annotator=automatic	
Chr_11	66440	67346	ID=mRNA7503	gene7500	Name=wlab.238005.1_mRNA	proteinid=7491	annotator=automatic	
Chr_11	67924	69043	ID=mRNA7504	gene7501	Name=wlab.238003.1_mRNA	proteinid=7493	annotator=automatic	
Chr_11	70964	72877	ID=mRNA7505	gene7502	Name=wlab.6671.1_mRNA	proteinid=7495	product=Multidrug%2FOligosaccharidyl-lipid%2FPolysaccharide%20%28MOP%29%20Flippase%20Superfamily	annotator=Jian%20Guo
Chr_11	73103	78553	ID=mRNA7506	gene7503	Name=wlab.248138.1_mRNA	proteinid=7496	annotator=automatic	
Chr_11	80090	81553	ID=mRNA7507	gene7504	Name=wlab.238000.1_mRNA	proteinid=7498	annotator=automatic	
Chr_11	81607	83316	ID=mRNA7508	gene7505	Name=wlab.25067.1_mRNA	proteinid=7499	annotator=automatic	
Chr_11	83740	87231	ID=mRNA7509	gene7506	Name=wlab.237999.1_mRNA	proteinid=7500	annotator=automatic	
Chr_11	89560	90447	ID=mRNA7510	gene7507	Name=wlab.6676.1_mRNA	proteinid=7502	annotator=automatic	
Chr_11	93300	95634	ID=mRNA7511	gene7508	Name=wlab.248139.1_mRNA	proteinid=7504	annotator=automatic	
Chr_11	97896	100117	ID=mRNA7512	gene7509	Name=wlab.248140.1_mRNA	proteinid=7506	annotator=automatic	
Chr_11	101239	102610	ID=mRNA7513	gene7510	Name=wlab.237997.1_mRNA	proteinid=7508	product=Drug%2FMetabolite%20Transporter%20%28DMT%29%20Superfamily	annotator=Jian%20Guo
Chr_11	103286	104462	ID=mRNA7514	gene7511	Name=wlab.248141.1_mRNA	proteinid=7510	annotator=automatic	
Chr_11	104508	105569	ID=mRNA7515	gene7512	Name=wlab.237996.1_mRNA	proteinid=7511	annotator=automatic	
Chr_11	105703	106098	ID=mRNA7516	gene7513	Name=wlab.237995.1_mRNA	proteinid=7512	annotator=automatic	
Chr_11	107823	109142	ID=mRNA7517	gene7514	Name=wlab.237993.1_mRNA	proteinid=7514	annotator=automatic	
Chr_11	118027	119103	ID=mRNA7518	gene7515	Name=wlab.237991.1_mRNA	proteinid=7517	product=molybdenum%20cofactor%20biosynthesis%20CNX1G	annotator=Valeria%20Jimenez
Chr_11	120961	123270	ID=mRNA7519	gene7516	Name=wlab.237989.1_mRNA	proteinid=7519	annotator=automatic	
Chr_11	127551	128963	ID=mRNA7520	gene7517	Name=wlab.6689.1_mRNA	proteinid=7523	product=KNOX-class%20homeobox%20protein	annotator=Jae-Hyeok%20Lee
Chr_11	131545	132684	ID=mRNA7521	gene7518	Name=wlab.237985.1_mRNA	proteinid=7525	annotator=automatic	
Chr_11	133691	134466	ID=mRNA7522	gene7519	Name=wlab.237984.1_mRNA	proteinid=7527	annotator=automatic	
Chr_11	135127	141460	ID=mRNA7523	gene7520	Name=wlab.237982.1_mRNA	proteinid=7529	annotator=automatic	
Chr_11	143730	144296	ID=mRNA7524	gene7521	Name=wlab.237981.1_mRNA	proteinid=7531	annotator=automatic	
Chr_11	145826	146852	ID=mRNA7525	gene7522	Name=wlab.237979.1_mRNA	proteinid=7533	annotator=automatic	
Chr_11	149284	149720	ID=mRNA7526	gene7523	Name=wlab.237977.1_mRNA	proteinid=7536	annotator=automatic	
Chr_11	151576	153931	ID=mRNA7527	gene7524	Name=wlab.237975.1_mRNA	proteinid=7538	annotator=automatic	
Chr_11	154104	155150	ID=mRNA7528	gene7525	Name=wlab.246053.1_mRNA	proteinid=7539	annotator=automatic	
Chr_11	156272	157388	ID=mRNA7529	gene7526	Name=wlab.237973.1_mRNA	proteinid=7541	annotator=automatic	
Chr_11	158688	159925	ID=mRNA7530	gene7527	Name=wlab.237971.1_mRNA	proteinid=7543	annotator=automatic	
Chr_11	163272	164064	ID=mRNA7531	gene7528	Name=wlab.237966.1_mRNA	proteinid=7546	annotator=automatic	
Chr_11	164658	165739	ID=mRNA7532	gene7529	Name=wlab.237968.1_mRNA	proteinid=7548	annotator=automatic	
Chr_11	166437	167819	ID=mRNA7533	gene7530	Name=wlab.237965.1_mRNA	proteinid=7550	annotator=automatic	
Chr_11	169262	170203	ID=mRNA7534	gene7531	Name=wlab.237963.1_mRNA	proteinid=7552	annotator=automatic	
Chr_11	173639	176549	ID=mRNA7535	gene7532	Name=wlab.237960.1_mRNA	proteinid=7555	annotator=automatic	
Chr_11	177915	181904	ID=mRNA7536	gene7533	Name=wlab.237958.1_mRNA	proteinid=7557	annotator=Jae-Hyeok%20Lee	
Chr_11	186866	189664	ID=mRNA7537	gene7534	Name=wlab.237955.1_mRNA	proteinid=7560	product=Chloride%20Carrier%2FChannel%20%28ClC%29%20Family	annotator=Jian%20Guo
Chr_11	194318	195085	ID=mRNA7538	gene7535	Name=wlab.237951.1_mRNA	proteinid=7563	annotator=automatic	
Chr_11	197215	198903	ID=mRNA7539	gene7536	Name=wlab.8727.1_mRNA	proteinid=7565	annotator=automatic	
Chr_11	200567	202268	ID=mRNA7540	gene7537	Name=wlab.237948.1_mRNA	proteinid=7567	annotator=automatic	
Chr_11	204761	205744	ID=mRNA7541	gene7538	Name=wlab.238047.1_mRNA	proteinid=7569	annotator=Jae-Hyeok%20Lee	
Chr_11	213459	214262	ID=mRNA7542	gene7539	Name=wlab.237944.1_mRNA	proteinid=7573	annotator=automatic	
Chr_11	216095	216728	ID=mRNA7543	gene7540	Name=wlab.1899.1_mRNA	proteinid=7575	annotator=automatic	
Chr_11	219356	224865	ID=mRNA7544	gene7541	Name=wlab.237940.1_mRNA	proteinid=7578	annotator=automatic	
Chr_11	226105	226882	ID=mRNA7545	gene7542	Name=wlab.246048.1_mRNA	proteinid=7580	annotator=automatic	
Chr_11	227253	229742	ID=mRNA7546	gene7543	Name=wlab.246043.1_mRNA	proteinid=7581	product=SHAQYF-type%20transcription%20factor	annotator=Jae-Hyeok%20Lee
Chr_11	231741	233460	ID=mRNA7547	gene7544	Name=wlab.237936.1_mRNA	proteinid=7583	annotator=automatic	
Chr_11	233742	236684	ID=mRNA7548	gene7545	Name=wlab.237937.1_mRNA	proteinid=7584	annotator=automatic	
Chr_11	238061	239223	ID=mRNA7549	gene7546	Name=wlab.237934.1_mRNA	proteinid=7586	product=Drug%2FMetabolite%20Transporter%20%28DMT%29%20Superfamily	annotator=Jian%20Guo
Chr_11	240706	242150	ID=mRNA7550	gene7547	Name=wlab.237932.1_mRNA	proteinid=7588	annotator=automatic	
Chr_11	246334	262265	ID=mRNA7551	gene7548	Name=wlab.238036.1_mRNA	proteinid=7591	annotator=automatic	
Chr_11	266081	268091	ID=mRNA7552	gene7549	Name=wlab.237927.1_mRNA	proteinid=7593	product=Dihydrolipoyl%20dehydrogenase%20%28also%20known%20as%20glycine%20decarboxylase%20L-protein%2C%20glycine%20cleavage%20system%20L-protein%29	annotator=Chang%20Jae%20Choi
Chr_11	268206	273154	ID=mRNA7553	gene7550	Name=wlab.237928.1_mRNA	proteinid=7594	annotator=automatic	
Chr_11	277262	278200	ID=mRNA7554	gene7551	Name=wlab.237925.1_mRNA	proteinid=7597	annotator=automatic	
Chr_11	278230	279774	ID=mRNA7555	gene7552	Name=wlab.248145.1_mRNA	proteinid=7598	annotator=automatic	
Chr_11	280080	281482	ID=mRNA7556	gene7553	Name=wlab.25112.1_mRNA	proteinid=7599	annotator=automatic	
Chr_11	282555	284345	ID=mRNA7557	gene7554	Name=wlab.6725.1_mRNA	proteinid=7601	annotator=automatic	
Chr_11	284435	293182	ID=mRNA7558	gene7555	Name=wlab.237924.1_mRNA	proteinid=7602	annotator=automatic	
Chr_11	294902	296014	ID=mRNA7559	gene7556	Name=wlab.237920.1_mRNA	proteinid=7604	annotator=automatic	
Chr_11	296185	297657	ID=mRNA7560	gene7557	Name=wlab.25115.1_mRNA	proteinid=7605	annotator=automatic	
Chr_11	299852	303214	ID=mRNA7561	gene7558	Name=wlab.237916.1_mRNA	proteinid=7608	annotator=automatic	
Chr_11	303231	304655	ID=mRNA7562	gene7559	Name=wlab.237917.1_mRNA	proteinid=7609	annotator=automatic	
Chr_11	306893	307887	ID=mRNA7563	gene7560	Name=wlab.237914.1_mRNA	proteinid=7611	annotator=automatic	
Chr_11	313321	314736	ID=mRNA7564	gene7561	Name=wlab.237915.1_mRNA	proteinid=7613	annotator=automatic	
Chr_11	316382	317749	ID=mRNA7565	gene7562	Name=wlab.248633.1_mRNA	proteinid=7615	annotator=automatic	
Chr_11	319290	320270	ID=mRNA7566	gene7563	Name=wlab.6734.1_mRNA	proteinid=7617	annotator=automatic	
Chr_11	321908	323092	ID=mRNA7567	gene7564	Name=wlab.6736.1_mRNA	proteinid=7619	annotator=automatic	
Chr_11	325708	327409	ID=mRNA7568	gene7565	Name=wlab.237910.1_mRNA	proteinid=7621	annotator=automatic	
Chr_11	328716	330443	ID=mRNA7569	gene7566	Name=wlab.237908.1_mRNA	proteinid=7623	annotator=automatic	
Chr_11	340639	341938	ID=mRNA7570	gene7567	Name=wlab.25119.1_mRNA	proteinid=7628	annotator=automatic	
Chr_11	343458	344068	ID=mRNA7571	gene7568	Name=wlab.237902.1_mRNA	proteinid=7630	annotator=automatic	
Chr_11	346361	348142	ID=mRNA7572	gene7569	Name=wlab.237900.1_mRNA	proteinid=7632	annotator=automatic	
Chr_11	350321	351025	ID=mRNA7573	gene7570	Name=wlab.975.1_mRNA	proteinid=7634	annotator=automatic	
Chr_11	352108	354792	ID=mRNA7574	gene7571	Name=wlab.8731.1_mRNA	proteinid=7635	product=Anion%20Exchanger%20%28AE%29%20Family	annotator=Jian%20Guo
Chr_11	356273	357683	ID=mRNA7575	gene7572	Name=wlab.237896.1_mRNA	proteinid=7637	annotator=automatic	
Chr_11	358476	360855	ID=mRNA7576	gene7573	Name=wlab.248148.1_mRNA	proteinid=7639	annotator=automatic	
Chr_11	360822	361205	ID=mRNA7577	gene7574	Name=wlab.248149.1_mRNA	proteinid=7640	annotator=automatic	
Chr_11	361793	364493	ID=mRNA7578	gene7575	Name=wlab.237892.1_mRNA	proteinid=7642	annotator=automatic	
Chr_11	364640	366136	ID=mRNA7579	gene7576	Name=wlab.248150.1_mRNA	proteinid=7643	annotator=automatic	
Chr_11	366810	373357	ID=mRNA7580	gene7577	Name=wlab.6747.1_mRNA	proteinid=7645	annotator=automatic	
Chr_11	375788	380092	ID=mRNA7581	gene7578	Name=wlab.25127.1_mRNA	proteinid=7647	annotator=automatic	
Chr_11	381930	382860	ID=mRNA7582	gene7579	Name=wlab.1903.1_mRNA	proteinid=7649	annotator=automatic	
Chr_11	384774	385254	ID=mRNA7583	gene7580	Name=wlab.248701.1_mRNA	proteinid=7651	annotator=automatic	
Chr_11	385269	385876	ID=mRNA7584	gene7581	Name=wlab.248702.1_mRNA	proteinid=7652	annotator=automatic	
Chr_11	385915	387094	ID=mRNA7585	gene7582	Name=wlab.237886.1_mRNA	proteinid=7653	annotator=automatic	
